iter	Logloss
0	0.6584243774
1	0.6302301643
2	0.6004281205
3	0.5811831014
4	0.5684285539
5	0.5521626848
6	0.5353961473
7	0.5183254628
8	0.5048679823
9	0.4960564603
10	0.4850541447
11	0.4733692555
12	0.4643533257
13	0.4552194831
14	0.4480835132
15	0.4426460695
16	0.4381288678
17	0.4332770873
18	0.4281347039
19	0.4222003208
20	0.4185726723
21	0.413200807
22	0.4088366648
23	0.406352311
24	0.4042591566
25	0.4008323584
26	0.3962776956
27	0.3936315815
28	0.3916258223
29	0.3879205511
30	0.3867332373
31	0.3839832692
32	0.3813142241
33	0.379052923
34	0.3782891263
35	0.3776097673
36	0.3764113523
37	0.3761443235
38	0.3752419975
39	0.3741691675
40	0.3734478897
41	0.3714303006
42	0.3702195843
43	0.3691057784
44	0.3681151144
45	0.3668740519
46	0.3655724686
47	0.3642767145
48	0.3633471285
49	0.361827636
50	0.3606558382
51	0.3598089325
52	0.358645557
53	0.3576465564
54	0.3566486702
55	0.3557137479
56	0.3553567093
57	0.3539710741
58	0.3532114993
59	0.3518268285
60	0.3503824298
61	0.3501177584
62	0.3485974515
63	0.3476715517
64	0.346548359
65	0.3457808548
66	0.344736035
67	0.3435050879
68	0.3431285687
69	0.3421578782
70	0.341491142
71	0.3412826838
72	0.3403499903
73	0.3394237475
74	0.3389710201
75	0.3375559389
76	0.3370519702
77	0.3360027356
78	0.3354285165
79	0.3349106606
80	0.3339199966
81	0.3323177381
82	0.3321114658
83	0.3316488802
84	0.3311482976
85	0.330213311
86	0.3297403957
87	0.3291487533
88	0.3283046765
89	0.3277865421
90	0.327433554
91	0.3269455942
92	0.3263836979
93	0.3259934629
94	0.3253892191
95	0.324462762
96	0.3234724838
97	0.3233316829
98	0.3229202742
99	0.3222059186
100	0.3216812905
101	0.3212052463
102	0.3210629024
103	0.3201845791
104	0.3187494171
105	0.3187480026
106	0.317695532
107	0.3170811085
108	0.3164199443
109	0.3158379887
110	0.3154148145
111	0.3153238832
112	0.314695894
113	0.3137999974
114	0.3135669151
115	0.3133062084
116	0.3128423584
117	0.3120598954
118	0.3117031783
119	0.3113128362
120	0.3106846327
121	0.3095802993
122	0.3075616386
123	0.3071710394
124	0.3067232625
125	0.3066937522
126	0.3057266407
127	0.3048268007
128	0.3038746266
129	0.3035543206
130	0.302942126
131	0.3021271523
132	0.3019876802
133	0.3016125111
134	0.3011808074
135	0.3006049381
136	0.300467159
137	0.2994033299
138	0.2989509454
139	0.2986749799
140	0.2981809337
141	0.2980421259
142	0.2977341856
143	0.2964066495
144	0.2960196934
145	0.295758751
146	0.2950894645
147	0.2940556387
148	0.2933210309
149	0.2926937489
150	0.2921421394
151	0.2906357412
152	0.2900866819
153	0.2895588821
154	0.2889538454
155	0.2887016039
156	0.2879373358
157	0.2874737857
158	0.2868880368
159	0.2864332521
160	0.2860171715
161	0.2854877858
162	0.2849809239
163	0.2845871743
164	0.2831813727
165	0.282658502
166	0.2824716461
167	0.2821189366
168	0.281876489
169	0.2803520031
170	0.2798079373
171	0.2779342137
172	0.2772281518
173	0.2761917543
174	0.2745074583
175	0.2734221983
176	0.2719788283
177	0.2714520144
178	0.2707257432
179	0.2692732007
180	0.2686396395
181	0.2683749681
182	0.2675816825
183	0.2668251295
184	0.2666376521
185	0.2653386191
186	0.2642157908
187	0.2637701142
188	0.2632915411
189	0.2626142823
190	0.2618966478
191	0.2609638257
192	0.2601738833
193	0.2590654566
194	0.2575861256
195	0.2572991018
196	0.2557245533
197	0.2554283571
198	0.2546824766
199	0.2541085575
200	0.2532937553
201	0.2530116606
202	0.2521085846
203	0.2518460992
204	0.250955946
205	0.2504067153
206	0.2489181047
207	0.2485411569
208	0.2483781536
209	0.2475688377
210	0.2466679691
211	0.2453043648
212	0.2444865195
213	0.2443540552
214	0.2441194941
215	0.2435227512
216	0.2427339875
217	0.2423960011
218	0.241861472
219	0.2404877523
220	0.240007079
221	0.2395185621
222	0.2392582411
223	0.2379250259
224	0.2375227253
225	0.2368717408
226	0.2364711547
227	0.2361676934
228	0.2354359145
229	0.234617769
230	0.2339060494
231	0.2335597263
232	0.23334171
233	0.2328360911
234	0.232236155
235	0.231413852
236	0.2309323
237	0.2303999997
238	0.2303174908
239	0.2298625346
240	0.2294174151
241	0.2290706635
242	0.2281852036
243	0.228061526
244	0.227096579
245	0.2265522989
246	0.2257092937
247	0.2253073146
248	0.2250050534
249	0.2246140041
250	0.2244642879
251	0.2239661056
252	0.2234893542
253	0.2230234468
254	0.2223615539
255	0.2216014219
256	0.2211713041
257	0.2205579736
258	0.2203762183
259	0.2202975455
260	0.2198878085
261	0.2195444857
262	0.2188322517
263	0.2183053092
264	0.2175624719
265	0.2172044904
266	0.2170288
267	0.2164866844
268	0.2162692895
269	0.21590265
270	0.215233342
271	0.2145333237
272	0.2139995446
273	0.2138405489
274	0.2129574465
275	0.2123435374
276	0.2119325574
277	0.2115853127
278	0.2113866913
279	0.2109996067
280	0.2106701497
281	0.2103447646
282	0.209654433
283	0.2094064991
284	0.2089339267
285	0.2086710126
286	0.2084219643
287	0.2082734697
288	0.2081338904
289	0.2073619928
290	0.20701762
291	0.2068751903
292	0.2065820373
293	0.2062589667
294	0.2055601056
295	0.2054600662
296	0.205161984
297	0.2049294375
298	0.2044107459
299	0.2037498817
